OrderID,OrderDate,City,Category,Product,Quantity,Sales,Discount,Profit,PaymentMode
1001,2025-01-01,Lucknow,Furniture,Table,1,2994.97,15,575.4,Cash
1002,2025-02-14,Jaipur,Clothing,Shirt,5,4984.22,20,672.48,Cash
1003,2025-12-16,Pune,Clothing,Shirt,5,3896.65,15,634.92,Card
1004,2025-05-29,Lucknow,Furniture,Table,6,18044.12,5,4340.07,Card
1005,2025-06-13,Lucknow,Furniture,Table,1,3149.56,5,562.88,Card
1006,2025-11-22,Lucknow,Electronics,Keyboard,5,6563.0,20,1381.94,UPI
1007,2025-10-19,Lucknow,Furniture,Table,4,11878.15,15,2675.76,UPI
1008,2025-04-25,Jaipur,Electronics,Mouse,5,7815.0,10,1449.96,Card
1009,2025-07-17,Pune,Furniture,Chair,3,7899.8,0,1875.5,Cash
1010,2025-11-02,Lucknow,Furniture,Chair,2,5643.1,5,913.64,UPI
1011,2025-10-31,Pune,Furniture,Table,1,2856.4,10,478.52,UPI
1012,2025-07-25,Jaipur,Clothing,Jeans,3,2312.93,0,468.29,UPI
1013,2025-12-02,Pune,Electronics,Mouse,6,10159.66,5,1796.46,Card
1014,2025-09-13,Mumbai,Electronics,Keyboard,4,4879.67,10,800.66,Cash
1015,2025-10-04,Delhi,Clothing,Jeans,4,3807.27,5,603.39,Cash
1016,2025-04-13,Mumbai,Electronics,Keyboard,2,3148.04,15,470.94,Cash
1017,2025-08-08,Mumbai,Clothing,Jeans,4,3840.14,0,626.47,Card
1018,2025-07-19,Lucknow,Clothing,Jeans,2,1513.76,0,243.45,Cash
1019,2025-05-06,Lucknow,Furniture,Chair,5,14011.43,0,2799.71,UPI
1020,2025-11-10,Lucknow,Electronics,Keyboard,4,4957.12,5,806.7,Cash
1021,2025-10-13,Jaipur,Electronics,Keyboard,1,1292.03,15,182.17,Cash
1022,2025-01-22,Jaipur,Furniture,Chair,4,13694.96,5,2876.62,Card
1023,2025-06-24,Mumbai,Clothing,Shirt,1,1026.17,0,197.17,Cash
1024,2025-12-23,Delhi,Electronics,Headphones,4,7024.0,20,1121.98,Cash
1025,2025-03-19,Lucknow,Electronics,Headphones,2,3051.0,10,481.04,Cash
1026,2025-01-01,Mumbai,Clothing,Shirt,6,5458.15,15,764.46,Cash
1027,2025-02-25,Pune,Electronics,Keyboard,2,2722.9,20,595.07,Card
1028,2025-05-17,Jaipur,Furniture,Chair,5,16761.72,15,3323.49,Cash
1029,2025-07-18,Lucknow,Electronics,Headphones,2,3051.83,20,486.93,Card
1030,2025-04-11,Pune,Furniture,Chair,5,14244.87,0,2996.81,Cash
1031,2025-09-27,Lucknow,Furniture,Chair,4,10085.62,0,2188.76,Card
1032,2025-05-27,Mumbai,Electronics,Mouse,3,5062.02,20,829.06,Cash
1033,2025-05-24,Mumbai,Clothing,Shirt,6,5927.89,20,1263.11,Card
1034,2025-05-28,Jaipur,Clothing,Shirt,6,5026.07,10,979.78,Cash
1035,2025-02-20,Lucknow,Clothing,Shirt,5,4077.46,10,848.04,Cash
1036,2025-05-20,Jaipur,Electronics,Headphones,4,5862.59,10,1054.63,UPI
1037,2025-04-01,Mumbai,Electronics,Mouse,5,8925.0,15,1687.55,Card
1038,2025-10-28,Pune,Electronics,Keyboard,3,4493.13,10,870.14,UPI
1039,2025-01-12,Lucknow,Clothing,Jeans,6,6221.19,10,1089.25,UPI
1040,2025-11-23,Mumbai,Electronics,Headphones,3,4225.01,20,664.78,Card
1041,2025-07-12,Delhi,Clothing,Jeans,3,2561.61,10,560.25,UPI
1042,2025-08-21,Jaipur,Clothing,Jeans,6,5539.5,20,852.53,Cash
1043,2025-04-10,Mumbai,Furniture,Chair,6,19967.94,10,3390.5,UPI
1044,2025-02-22,Jaipur,Electronics,Headphones,5,6133.28,5,1058.12,Cash
1045,2025-09-08,Jaipur,Clothing,Jeans,1,742.96,0,118.77,Cash
1046,2025-04-08,Lucknow,Electronics,Headphones,5,7272.05,20,1270.17,UPI
1047,2025-08-05,Delhi,Clothing,Shirt,2,1819.48,15,250.32,Card
1048,2025-09-24,Mumbai,Furniture,Table,3,8495.5,15,1295.41,UPI
1049,2025-03-09,Delhi,Clothing,Shirt,5,4033.79,10,645.62,Cash
1050,2025-08-03,Jaipur,Clothing,Shirt,4,3153.73,5,662.88,Cash
1051,2025-10-06,Pune,Clothing,Jeans,1,810.15,20,116.31,Cash
1052,2025-12-27,Mumbai,Clothing,Shirt,2,1719.82,15,318.05,UPI
1053,2025-09-30,Mumbai,Electronics,Headphones,2,3044.67,10,542.99,UPI
1054,2025-02-19,Jaipur,Furniture,Chair,3,8287.26,0,2038.66,Card
1055,2025-03-26,Lucknow,Electronics,Mouse,3,3668.34,10,551.88,Cash
1056,2025-02-16,Mumbai,Clothing,Jeans,5,4940.08,20,1020.4,Cash
1057,2025-08-20,Lucknow,Clothing,Shirt,3,2782.13,10,589.49,UPI
1058,2025-12-05,Pune,Furniture,Chair,6,14749.16,20,2177.25,Card
1059,2025-04-06,Jaipur,Clothing,Shirt,6,4942.88,15,1131.89,Cash
1060,2025-04-08,Pune,Furniture,Chair,4,11306.86,15,2165.83,UPI
1061,2025-08-10,Jaipur,Furniture,Chair,2,5280.48,0,1098.73,Card
1062,2025-09-17,Delhi,Furniture,Chair,3,7254.79,0,1671.99,Card
1063,2025-02-13,Delhi,Furniture,Table,4,13051.04,10,2878.56,Card
1064,2025-11-17,Pune,Clothing,Shirt,4,3922.47,20,584.34,Cash
1065,2025-05-17,Mumbai,Electronics,Keyboard,5,7712.62,5,1558.02,UPI
